Date,Initial Amt,S&P 500,1m+1f,1m+2f,3m+2f,2m+2f,3m+1f,2m+1f,
2000-01,10000,10000,10000,10000,10000,10000,10000,10000,
2000-02,10000,9786,10000,10024,10243,10243,10694,10694,
2000-03,10000,10686,10148,10173,10396,10319,10852,10852,
2000-04,10000,10418,9894,10028,10351,10040,10537,10537,
2000-05,10000,10280,10053,10132,10179,10044,10322,10680,
2000-06,10000,10428,9577,9852,10005,9674,10050,10174,
2000-07,10000,10205,9236,9439,10052,9719,10099,10223,
2000-08,10000,10791,10030,9910,10202,10296,10239,11101,
2000-09,10000,10191,9504,9815,10104,10197,10578,11470,
2000-10,10000,10085,10112,10125,10181,10019,10570,11460,
2000-11,10000,9333,11861,10793,10860,10687,10151,13442,
2000-12,10000,9106,12241,11100,11169,10990,10477,13873,
2001-01,10000,9746,12592,11409,10653,10483,9208,12193,
2001-02,10000,8808,11765,10859,10990,9950,8555,11328,
2001-03,10000,8131,13415,11573,10675,9669,8481,11231,
2001-04,10000,8986,10812,10450,9616,8731,6836,9052,
2001-05,10000,8945,10772,10492,9646,8758,6859,9141,
2001-06,10000,8776,10867,10437,9491,8588,6771,8965,
2001-07,10000,8628,10757,10372,9419,8654,6739,8943,
2001-08,10000,8039,10848,10440,9202,8711,6372,8986,
2001-09,10000,7369,13743,11778,10382,9828,8072,11384,
2001-10,10000,7693,12184,11196,9868,9342,7156,10093,
2001-11,10000,8018,12708,11755,9308,8812,6428,9065,
2001-12,10000,8193,13037,12221,9209,9268,6360,9520,
2002-01,10000,7963,12890,11902,8968,9026,6100,9413,
2002-02,10000,8031,13893,12398,8882,9355,6070,9367,
2002-03,10000,8136,13559,12623,8924,9204,5924,9141,
2002-04,10000,7709,13763,12805,9578,9878,6703,9279,
2002-05,10000,7384,15762,13777,10274,10596,7676,10627,
2002-06,10000,6873,16862,14347,10400,11034,8212,11368,
2002-07,10000,6277,17562,14809,10735,11390,8553,11840,
2002-08,10000,6230,18062,15113,10955,11623,8796,12177,
2002-09,10000,6017,18495,15327,11140,11820,9007,12469,
2002-10,10000,6393,17395,14872,10809,11434,8472,11728,
2002-11,10000,6631,18489,15615,10808,11693,8542,12163,
2002-12,10000,6450,17703,15253,10438,11293,8179,11646,
2003-01,10000,6105,18673,15748,9886,11093,7736,11045,
2003-02,10000,5924,18539,15832,9939,11152,7681,10965,
2003-03,10000,6092,18684,15883,9754,10944,7334,10471,
2003-04,10000,6502,20913,17113,9917,11127,7519,10734,
2003-05,10000,6862,25000,19647,11433,12828,8988,12832,
2003-06,10000,6970,25956,20420,11882,13332,9332,13322,
2003-07,10000,6955,27240,21520,12523,14051,9876,14098,
2003-08,10000,7252,29977,23325,13573,15230,10868,15515,
2003-09,10000,7225,30398,23526,13690,15361,11021,15733,
2003-10,10000,7515,30521,23552,14572,16350,11956,17068,
2003-11,10000,7593,31592,23884,14934,16725,12376,17667,
2003-12,10000,7866,32007,23479,15708,17044,12538,17899,
2004-01,10000,8056,31957,23632,16043,17155,12518,17871,
2004-02,10000,8203,33005,24401,16586,17693,12956,18496,
2004-03,10000,8034,33563,24505,16657,17561,13175,18405,
2004-04,10000,7930,32917,23618,15954,16847,12764,17426,
2004-05,10000,7956,33085,23633,15902,16467,12838,16857,
2004-06,10000,8011,33443,23965,16142,16578,13003,16993,
2004-07,10000,7852,30807,22627,15344,15384,11978,15654,
2004-08,10000,7847,31401,23043,15585,15639,12145,15955,
2004-09,10000,8029,32854,23655,15649,15703,12229,16065,
2004-10,10000,8022,33978,24117,15766,16009,12287,16142,
2004-11,10000,8454,37326,26208,17287,17397,13498,17732,
2004-12,10000,8530,38019,26781,17665,17778,13748,18062,
2005-01,10000,8440,37870,26553,17474,17586,13506,17991,
2005-02,10000,8589,39146,26978,18293,18216,14495,17961,
2005-03,10000,8323,37625,26118,17710,17585,13932,17263,
2005-04,10000,8246,37277,26094,17273,17151,13803,17104,
2005-05,10000,8531,37625,26368,16853,16752,13031,16147,
2005-06,10000,8476,39352,27325,16803,16676,12986,16057,
2005-07,10000,8766,41760,29056,17688,17664,13781,17039,
2005-08,10000,8668,43216,29106,17323,17694,13347,16503,
2005-09,10000,8704,44512,29915,17804,18186,13747,16998,
2005-10,10000,8535,42821,29086,17311,17682,13225,16352,
2005-11,10000,8974,41823,28815,17334,17706,12917,15971,
2005-12,10000,9003,42787,29079,17459,17652,13069,15896,
2006-01,10000,9100,44236,30674,18417,18873,13512,16889,
2006-02,10000,9162,44602,31150,18703,19036,13623,17029,
2006-03,10000,9209,44934,31503,19175,19516,14057,17347,
2006-04,10000,9261,46829,32996,19796,20047,14796,18078,
2006-05,10000,9123,43908,32002,18831,19069,14275,17442,
2006-06,10000,9084,43908,32021,18843,19082,14337,17518,
2006-07,10000,9018,45716,33264,19575,19823,14860,18157,
2006-08,10000,9303,47098,33560,19749,19999,15309,18706,
2006-09,10000,9447,47530,33760,20108,20226,15620,19086,
2006-10,10000,9706,48792,34750,20693,21010,16035,19953,
2006-11,10000,9911,51656,36620,21527,21857,16976,21124,
2006-12,10000,10052,51762,37504,21723,22385,17011,21168,
2007-01,10000,10260,52042,37719,22271,22671,17103,21282,
2007-02,10000,9957,50450,36625,21625,22010,16580,20631,
2007-03,10000,10108,50556,36635,22133,22236,16886,20675,
2007-04,10000,10547,53822,38430,22926,22327,17449,20153,
2007-05,10000,10902,56666,40276,23903,23400,18371,21218,
2007-06,10000,10782,57277,41031,24210,23700,18861,21784,
2007-07,10000,10401,55501,41759,23511,23017,18276,21108,
2007-08,10000,10569,52932,41091,23098,22648,17430,20131,
2007-09,10000,10978,54116,42509,23259,22806,17562,20284,
2007-10,10000,10704,54731,43338,23238,22594,17762,20514,
2007-11,10000,10448,56363,43693,22683,22054,17152,19810,
2007-12,10000,10269,58321,44565,23135,22494,17748,20498,
2008-01,10000,9902,57451,43806,23212,22569,17483,20192,
2008-02,10000,9447,57972,43957,24153,22648,17642,20375,
2008-03,10000,9723,54694,42693,23458,21996,16644,19223,
2008-04,10000,10000,55613,43902,23367,22613,16461,19980,
2008-05,10000,9832,57117,44463,23371,22436,16509,19929,
2008-06,10000,9117,53155,44841,21663,20509,15364,18547,
2008-07,10000,8943,51841,44446,20946,20328,14984,18088,
2008-08,10000,9065,52663,45074,20655,20046,14387,17367,
2008-09,10000,8239,48599,40351,21554,18547,14473,15068,
2008-10,10000,6857,55724,43031,21460,19952,14544,17277,
2008-11,10000,5792,61661,46087,22983,21369,16094,19118,
2008-12,10000,6612,55724,44109,21997,20452,14544,17277,
2009-01,10000,5857,48584,38192,22878,20520,15696,17293,
2009-02,10000,4973,53175,39658,23756,18004,17179,14943,
2009-03,10000,5755,48104,38050,22721,17273,15541,13518,
2009-04,10000,6227,54006,42180,21944,18333,14478,13518,
2009-05,10000,6690,63176,47191,24834,20747,16936,15814,
2009-06,10000,6552,61678,45977,24195,20213,16535,15439,
2009-07,10000,7114,64192,49203,27374,22869,19234,17959,
2009-08,10000,7082,62786,47954,26680,22422,18812,17565,
2009-09,10000,7308,64504,49009,28182,23703,20077,18746,
2009-10,10000,7400,65342,49787,27955,23453,20338,18896,
2009-11,10000,7868,69784,53090,29050,24970,20606,20110,
2009-12,10000,8039,70710,54056,29652,25485,20982,20376,
2010-01,10000,7729,68059,52311,28257,24663,20052,19824,
2010-02,10000,7917,66196,51729,29655,25883,20777,20541,
2010-03,10000,8360,70813,54629,31622,26966,22226,21973,
2010-04,10000,8531,69658,53795,33480,28551,23822,23552,
2010-05,10000,7598,60933,47507,29567,25213,20838,20602,
2010-06,10000,7290,62949,48562,30223,25773,21528,21283,
2010-07,10000,7989,57685,47010,29086,24804,19728,19503,
2010-08,10000,7666,54959,44959,29692,23721,19782,18582,
2010-09,10000,8134,52185,44173,31674,25306,21660,20345,
2010-10,10000,8404,54322,46001,32985,26238,22546,21178,
2010-11,10000,8558,53538,46105,33195,26112,22655,21280,
2010-12,10000,9025,57669,48581,35139,27514,24623,21923,
2011-01,10000,9278,57643,49314,35182,27548,24694,21986,
2011-02,10000,9269,58410,49943,35753,27591,25022,22279,
2011-03,10000,9455,60607,51519,36648,28282,25659,22846,
2011-04,10000,9659,62947,53638,37677,28845,26180,22929,
2011-05,10000,9328,59861,51567,37159,27929,26066,22117,
2011-06,10000,9506,58358,50851,37591,27864,26295,22311,
2011-07,10000,9132,55897,47962,36226,27426,25186,22552,
2011-08,10000,8546,59127,49082,37515,28281,26641,23855,
2011-09,10000,7800,63847,51126,39077,29459,28768,25759,
2011-10,10000,8645,56394,48165,36729,27689,25410,22752,
2011-11,10000,8831,57203,48860,36681,27758,25366,23318,
2011-12,10000,9062,59299,50262,37919,29343,26388,24171,
2012-01,10000,9396,66891,54790,42913,31986,29766,27265,
2012-02,10000,9750,69505,57565,45086,33606,31618,28962,
2012-03,10000,10069,70232,59381,46773,34863,33282,30486,
2012-04,10000,9975,69176,58188,44700,34163,32782,30027,
